experiment,seed,n,E_exact,E_learned,E_rel,L2,integral,collapse,path
A1,1,6,5.5,2.5507164001464844,0.5362333817914507,1.402530423022407,0.9998403787612915,False,outputs/Harmonic/runs/A1_seed1/mode_6/metrics.json
A1,2,6,5.5,2.555976629257202,0.5352769764985932,1.4029118910017826,0.9998183846473694,False,outputs/Harmonic/runs/A1_seed2/mode_6/metrics.json
A1,3,6,5.5,2.553508758544922,0.5357256802644622,1.4034710434920636,0.9998512864112854,False,outputs/Harmonic/runs/A1_seed3/mode_6/metrics.json
A1,4,6,5.5,2.64974308013916,0.5182285308836948,1.4035744526223424,0.999823808670044,False,outputs/Harmonic/runs/A1_seed4/mode_6/metrics.json
A1,0,7,6.5,4.179160118103027,0.35705228952255624,1.4114936200504182,0.9992446899414062,False,outputs/Harmonic/runs/A1_seed0/mode_7/metrics.json
A1,1,7,6.5,4.130193710327148,0.36458558302653643,1.411819453326406,0.9992460012435913,False,outputs/Harmonic/runs/A1_seed1/mode_7/metrics.json
A1,2,7,6.5,4.206329345703125,0.3528724083533111,1.411106227911339,0.9993047714233398,False,outputs/Harmonic/runs/A1_seed2/mode_7/metrics.json
A1,3,7,6.5,3.366644859313965,0.4820546370285466,1.4138818332836358,0.9990760087966919,False,outputs/Harmonic/runs/A1_seed3/mode_7/metrics.json
A1,4,7,6.5,3.9273993968963623,0.3957847081697295,1.4062563061446411,0.9989700317382812,False,outputs/Harmonic/runs/A1_seed4/mode_7/metrics.json
A1,0,8,7.5,5.131108283996582,0.31585222880041364,1.386088212272919,0.9996212720870972,False,outputs/Harmonic/runs/A1_seed0/mode_8/metrics.json
A1,1,8,7.5,5.204412460327148,0.30607833862300604,1.3810515882212577,0.9997918605804443,False,outputs/Harmonic/runs/A1_seed1/mode_8/metrics.json
A1,2,8,7.5,5.226334095001221,0.3031554539997968,1.3873276654242355,0.9996199607849121,False,outputs/Harmonic/runs/A1_seed2/mode_8/metrics.json
A1,3,8,7.5,5.227740287780762,0.3029679616291914,1.3973735179284674,0.9992685317993164,False,outputs/Harmonic/runs/A1_seed3/mode_8/metrics.json
A1,4,8,7.5,5.205408573150635,0.3059455235798746,1.3801937756420655,0.9995355606079102,False,outputs/Harmonic/runs/A1_seed4/mode_8/metrics.json
A1,0,9,8.5,6.062820911407471,0.28672695159908734,1.4136885543504298,0.9985313415527344,False,outputs/Harmonic/runs/A1_seed0/mode_9/metrics.json
A1,1,9,8.5,6.169557094573975,0.27416975357950013,1.413657781860939,0.9984449148178101,False,outputs/Harmonic/runs/A1_seed1/mode_9/metrics.json
A1,2,9,8.5,5.924677848815918,0.30297907660985635,1.4136671722119296,0.9984849691390991,False,outputs/Harmonic/runs/A1_seed2/mode_9/metrics.json
A1,3,9,8.5,5.869907379150391,0.30942266127638823,1.4136908263628971,0.9985312223434448,False,outputs/Harmonic/runs/A1_seed3/mode_9/metrics.json
A1,4,9,8.5,5.872978210449219,0.3090613870059379,1.4136703549665726,0.9985432624816895,False,outputs/Harmonic/runs/A1_seed4/mode_9/metrics.json
A1,0,10,9.5,6.798237323760986,0.2843960711830241,1.4133485292728534,0.9982317686080933,False,outputs/Harmonic/runs/A1_seed0/mode_10/metrics.json
A1,1,10,9.5,6.381810665130615,0.3282304563020059,1.4105470121284989,0.998862624168396,False,outputs/Harmonic/runs/A1_seed1/mode_10/metrics.json
A1,2,10,9.5,6.594283580780029,0.30586488623364894,1.4132915278128733,0.9983203411102295,False,outputs/Harmonic/runs/A1_seed2/mode_10/metrics.json
A1,3,10,9.5,6.900358200073242,0.2736465052554194,1.4133709160075676,0.9981056451797485,False,outputs/Harmonic/runs/A1_seed3/mode_10/metrics.json
A1,4,10,9.5,6.662326812744141,0.29870244076374325,1.4134254586655057,0.9983845949172974,False,outputs/Harmonic/runs/A1_seed4/mode_10/metrics.json
A1,0,11,10.5,7.571235179901123,0.27892998286653314,1.4131351984721316,0.9970878958702087,False,outputs/Harmonic/runs/A1_seed0/mode_11/metrics.json
A1,1,11,10.5,8.143433570861816,0.22443489801313896,1.4060636431919087,0.9970793724060059,False,outputs/Harmonic/runs/A1_seed1/mode_11/metrics.json
A1,2,11,10.5,7.557213306427002,0.28026539938787787,1.4131607977810285,0.9970970153808594,False,outputs/Harmonic/runs/A1_seed2/mode_11/metrics.json
A1,3,11,10.5,8.04466438293457,0.23384148733954246,1.4068325773140964,0.9971396923065186,False,outputs/Harmonic/runs/A1_seed3/mode_11/metrics.json
A1,4,11,10.5,7.995960235595703,0.23847997756229128,1.4065382612786033,0.9971083402633667,False,outputs/Harmonic/runs/A1_seed4/mode_11/metrics.json
A1,0,12,11.5,8.824580192565918,0.2326452006464217,1.4000143812333377,0.9984424710273743,False,outputs/Harmonic/runs/A1_seed0/mode_12/metrics.json
A1,1,12,11.5,9.34661865234375,0.1872505519700924,1.4068021844419354,0.9965882897377014,False,outputs/Harmonic/runs/A1_seed1/mode_12/metrics.json
A1,2,12,11.5,9.414262771606445,0.18136845464290202,1.409990405148175,0.9971734285354614,False,outputs/Harmonic/runs/A1_seed2/mode_12/metrics.json
